seg,word,cate,v,a
181,interested,2,6.83,4.45
181,stop,2,3.96,4.26
181,donkey,2,6.29,2.9
183,end,2,3.44,4.44
188,weird,2,5.09,4.29
188,addicted,2,2.51,4.81
189,addicted,2,2.51,4.81
190,crap,2,3.44,4.62
191,sad,2,1.61,4.13
194,sad,2,1.61,4.13
194,alone,2,2.41,4.83
195,traffic,2,2.27,5.8
197,sick,2,2.29,4.67
198,end,2,3.44,4.44
0,die,3,1.67,6.9
1,hang,3,4.33,5.4
1,god,3,5.9,5.56
1,insane,3,2.55,5.14
2,god,3,5.9,5.56
2,god,3,5.9,5.56
3,fight,3,3.54,6.33
4,worry,3,2.1,6.33
4,worry,3,2.1,6.33
4,fear,3,2.93,6.14
4,bad,3,3.24,4.86
5,pain,3,2,6.27
5,mad,3,2.47,5.59
5,bad,3,3.24,4.86
6,killing,3,1.95,5.52
6,watch,3,5.45,3.37
6,hang,3,4.33,5.4
9,exam,3,2.76,7.03
10,watch,3,5.45,3.37
10,watch,3,5.45,3.37
10,awful,3,2.28,4.86
15,hate,3,1.96,6.26
16,fight,3,3.54,6.33
16,honest,3,8.16,4
16,die,3,1.67,6.9
17,murderer,3,1.92,6.83
17,fire,3,4.32,6.05
17,crazy,3,5.14,5.9
17,discipline,3,5.9,5.8
17,force,3,4.17,5.35
17,doubt,3,3.28,4.33
18,sickness,3,2.4,3.95
18,insane,3,2.55,5.14
19,chicken,3,6.17,3.2
20,warning,3,3.48,6.25
20,watch,3,5.45,3.37
20,awful,3,2.28,4.86
20,hate,3,1.96,6.26
20,remove,3,4.21,3.11
21,god,3,5.9,5.56
21,capture,3,5.05,5.43
21,hate,3,1.96,6.26
22,enemy,3,2.22,5.3
22,awful,3,2.28,4.86
22,killer,3,1.89,7.86
23,devil,3,3.11,5.4
23,crazy,3,5.14,5.9
23,awful,3,2.28,4.86
23,insane,3,2.55,5.14
25,god,3,5.9,5.56
28,bear,3,5.33,4.5
28,awful,3,2.28,4.86
29,bad,3,3.24,4.86
29,worry,3,2.1,6.33
30,kill,3,1.81,6.81
31,spider,3,3.35,6.91
31,god,3,5.9,5.56
31,madness,3,2.86,6.25
33,god,3,5.9,5.56
39,bad,3,3.24,4.86
39,dreadful,3,2.6,4.5
40,gun,3,3.66,7.74
44,anxious,3,3.8,6.2
47,steal,3,2.17,5.3
52,case,3,5.18,4.14
52,fret,3,3.73,5.89
53,hate,3,1.96,6.26
57,killing,3,1.95,5.52
59,afraid,3,2.25,5.12
60,hate,3,1.96,6.26
60,crazy,3,5.14,5.9
64,scary,3,3.24,6.69
65,emotional,3,4.36,5.75
65,god,3,5.9,5.56
66,worry,3,2.1,6.33
66,fear,3,2.93,6.14
67,change,3,5.09,4.05
69,hate,3,1.96,6.26
70,awful,3,2.28,4.86
71,fire,3,4.32,6.05
71,fire,3,4.32,6.05
72,bad,3,3.24,4.86
73,hopeless,3,2.2,4.52
