seg,word,cate,v,a
81,buddy,4,7.41,4.57
81,twilight,4,7.23,4.7
81,fun,4,8.37,6.32
81,happy,4,8.47,6.05
81,day,4,6.66,5
81,play,4,8.1,6.93
81,guitar,4,6.86,5.82
81,food,4,7.52,4.69
81,video,4,7.3,5.67
81,perfect,4,7.19,4.71
83,heart,4,7.39,6.34
84,like,4,7.52,6.63
84,christmas,4,7.8,6.27
85,house,4,7.26,4.56
86,song,4,7.1,6.07
86,house,4,7.26,4.56
86,me,4,8.06,5.97
86,movie,4,6.86,4.93
87,friend,4,6.79,4.29
87,me,4,8.06,5.97
87,like,4,7.52,6.63
87,car,4,7.73,6.24
88,day,4,6.66,5
89,people,4,7.33,5.94
89,music,4,7.67,5.57
89,beach,4,7.21,5.1
89,house,4,7.26,4.56
89,beach,4,7.21,5.1
89,house,4,7.26,4.56
89,popcorn,4,6.93,4.89
89,song,4,7.1,6.07
90,day,4,6.66,5
91,me,4,8.06,5.97
91,right,4,6.45,4.79
91,game,4,6.98,5.89
91,people,4,7.33,5.94
91,think,4,6.41,5.34
92,music,4,7.67,5.57
92,day,4,6.66,5
92,day,4,6.66,5
93,christmas,4,7.8,6.27
94,home,4,7.91,4.21
94,song,4,7.1,6.07
94,life,4,7.27,6.02
94,free,4,8.26,5.15
94,like,4,7.52,6.63
95,perfect,4,7.19,4.71
95,man,4,6.73,5.24
95,movie,4,6.86,4.93
95,friend,4,6.79,4.29
95,love,4,8,5.36
95,video,4,7.3,5.67
95,first,4,6.89,6.14
96,me,4,8.06,5.97
96,fireworks,4,7.55,6.67
96,baby,4,6.67,4.97
96,love,4,8,5.36
96,right,4,6.45,4.79
96,christmas,4,7.8,6.27
96,me,4,8.06,5.97
96,right,4,6.45,4.79
96,me,4,8.06,5.97
96,man,4,6.73,5.24
96,like,4,7.52,6.63
96,know,4,6.93,5.77
96,happy,4,8.47,6.05
97,honey,4,7.27,4.38
98,food,4,7.52,4.69
98,restaurant,4,6.76,5.41
98,right,4,6.45,4.79
98,life,4,7.27,6.02
98,complete,4,8.17,5.75
98,food,4,7.52,4.69
98,day,4,6.66,5
